"tipo_logradouro","logradouro","numero","complemento","bairro","cep","uf","municipio"
AREA,RURAL,SN,GALPAOGRANJA KOGRANJA,AREA RURAL DE PATOS,"58708899",PB,PATOS
QUADRA,ACSV SE 112 AVENIDA LO 27,SN,LOTE  5,PLANO DIRETOR SUL,"77024054",TO,PALMAS
AVENIDA,DOUTOR NELSON D'AVILA,"1837",SALA  718 E 719,JARDIM SAO DIMAS,"12245030",SP,SAO JOSE DOS CAMPOS
RUA,SALDANHA MARINHO,"1001",SALA  3,CENTRO,"17201310",SP,JAU
AVENIDA,LUIZ GUARESCH,"20",LOJA  23 E 24,INVERNADA,"15895000",SP,CEDRAL
AVENIDA,MANOEL RIBAS,"3898",,CASCATINHA,"82025160",PR,CURITIBA
RUA,FENELON MULLER,SN,SALA  11                  COND  CENTRO EMPRES.CONDOR,CENTRO NORTE,"78110440",MT,VARZEA GRANDE
AVENIDA,JOSE SABOIA,"1001",,CAIS DO PORTO,"60180480",CE,FORTALEZA
RUA,BOLIVIA,"454",,GUILHERMINA,"11701850",SP,PRAIA GRANDE
RUA,DO ROCIO,"423",SALA  202 E 203,VILA OLIMPIA,"04552000",SP,SAO PAULO
RUA,CLAUDIO BARBOSA,"272",,CENTRO,"67212010",PA,MARITUBA
PRACA,PREFEITO ARMANDO RIOS,"152",,CENTRO,"35360000",MG,SAO PEDRO DOS FERROS
PRACA,VINTE E QUATRO DE JUNHO,"40",,ALVINOPOLIS,"12942552",SP,ATIBAIA
VIA DE ACESSO,JOAO DE GOES,"1701",BLOCO A                   SALA  A05-C1,JARDIM ALVORADA,"06612000",SP,JANDIRA
RODOVIA,DO CAFE,"633",KM    350 BR 376,VILA GOMES,"84350000",PR,ORTIGUEIRA
QUADRA,QE 20 LOTE I,S/N,      PARTE                     LOJA DE CONVENIENCIA,GUARA I,"71015205",DF,BRASILIA
RUA,BEIRA RIO,"580",      B,ITANHANGA,"22753992",RJ,RIO DE JANEIRO
RUA,DOUTOR CAMPOS VELHO,"1388",,CRISTAL,"90820000",RS,PORTO ALEGRE
RUA,DO PARAISO,"173",,SANTO ANTONIO,"48903050",BA,JUAZEIRO
AVENIDA,T1,"2633",QUADRA104B                LOTE  60                  EDIF  SANTA BARBARA,SET BUENO,"74210025",GO,GOIANIA
TRAVESSA,DOS CURSINO,"500",,CENTRO,"63780000",CE,MONSENHOR TABOSA
VIA,ANCHIETA,"983",,CIDADE NOVA HELIOPOLIS,"04247001",SP,SAO PAULO
AREA,RURAL - LINHA BOEMIOS,"143",,AREA RURAL DE FARROUPILHA,"95181899",RS,FARROUPILHA
RUA,B  LOT ADAIL MOREIRA DE OLIVEIRA,"178",CASA,CENTRO,"48370000",BA,ESPLANADA
RUA,DOMINGOS LORDSLEEN,"434",,PONTA DA TERRA,"57030670",AL,MACEIO
RODOVIA,JOSE CARLOS DAUX,"4150",SALA  1                   SALA  2,SACO GRANDE,"88032005",SC,FLORIANOPOLIS
VIA,ANHANGUERA,S/N,KM    25.5 P. LATERAL 130 SETOR PARTE C895,JARDIM JARAGUA,"05275000",SP,SAO PAULO
RUA,CORONEL JOSE VICENTE,"2 E 67",SETOR B2W,CENTRO,"58800005",PB,SOUSA
RUA,"15 DE NOVEMBRO","163",SETOR B2W,CENTRO,"59900000",RN,PAU DOS FERROS
AVENIDA,CRISPIM FURQUIM DE SIQUEIRA,"503",SALA  05,CENTRO,"83560000",PR,ITAPERUCU
AVENIDA,GOIAS,"1183",QUADRA30 LOTE AREA        SETOR B2W,CENTRO,"75800012",GO,JATAI
