"tipo_logradouro","logradouro","numero","complemento","bairro","cep","uf","municipio"
AVENIDA,GETULIO DORNELES VARGAS,"1748N",SALA  10,CENTRO,"89805000",SC,CHAPECO
RUA,MARQUES DE POMBAL,"00025",      SAL 104 . RUA             SANTANA 00114 SAL         602. SAL 501,CENTRO,"20230240",RJ,RIO DE JANEIRO
RODOVIA,RS-20,"10",LOTE  B,DISTRITO INDUSTRIAL,"95400000",RS,SAO FRANCISCO DE PAULA
AVENIDA,GENERAL MOTORS,"300",SALA  VIAMAR,SITIO GAUCHO,"94180124",RS,GRAVATAI
AVENIDA,LEOPOLDINA SALGADO,"127",QUADRAG                   LOTE  13,CENTRO,"76300000",GO,CERES
RUA,QUINZE DE JANEIRO,"184",SALA  706,CENTRO,"92010300",RS,CANOAS
AVENIDA,PAPA PAULO VI,"6",SLJ   1,JARDIM DO TREVO,"13040000",SP,CAMPINAS
RODOVIA,BR 491 KM 227,S/N,,NOSSA SENHORA APARECIDA,"37110000",MG,ELOI MENDES
RUA,ANTONIO RUIZ VEIGA,"100",BLOCO 11                  APT   106,LOTEAMENTO MOGILAR,"08773495",SP,MOGI DAS CRUZES
RUA,BUENO BRANDAO,"314",,VILA NOVA CONCEICAO,"04509021",SP,SAO PAULO
FAZENDA,MORRO GRANDE,S/N,,ZONA RURAL,"35610000",MG,DORES DO INDAIA
AVENIDA,PREFEITO SINCLER SAMBATTI,"9332",BLOCO REFEITORIO,JARDIM BERTIOGA,"87055405",PR,MARINGA
AVENIDA,JOSE BONIFACIO,"3800",BLOCO REFEITORIO,VILA ATALAIA,"86181570",PR,CAMBE
FAZENDA,RIO DAS COBRAS,S/N,BLOCO REFEITORIO,MANUFATURADO,"85460000",PR,QUEDAS DO IGUACU
RUA,REALENGO,"15",      DEPOSITO 01,PIONEIROS,"79070293",MS,CAMPO GRANDE
RUA,ODILIO GARCIA,"211",      AREA A SALA B BOX         174,CORDEIROS,"88310180",SC,ITAJAI
RUA,"414","289",,MORRETES,"88220000",SC,ITAPEMA
RUA,BARONESA DE MESQUITA,"4644",,CENTRO,"26551470",RJ,MESQUITA
RUA,PROFESSOR GONZAGA GALVAO,"40",SALA  02                  ANDAR 2,CENTRO,"59380000",RN,CURRAIS NOVOS
RUA,VIRGILIO GOMES BARRETO,"565",BLOCO B,VILA NOVA,"29702070",ES,COLATINA
SITIO,SITIO SAO JOSE,S/N,,PEDERNEIRAS,"18500000",SP,LARANJAL PAULISTA
AVENIDA,DA MACONARIA,"350",SALA  B,PERPETUO SOCORRO,"48603241",BA,PAULO AFONSO
RUA,RUI BARBOSA,"3040",SALA  02,CENTRO,"79002369",MS,CAMPO GRANDE
AVENIDA,ALBERTO BRAUNE,"224",SALA  401,CENTRO,"28613000",RJ,NOVA FRIBURGO
RUA,ELMANO SOARES,"701",SALA  101,CENTRO,"79601020",MS,TRES LAGOAS
RUA,DA RAPOSA,"66",SALA  01,CENTRO,"65300088",MA,SANTA INES
AVENIDA,SAO PAULO,"2687",SALA  01,CENTRO,"76963801",RO,CACOAL
AVENIDA,BIAS FORTES,"400",      PARTE B,CENTRO,"39625000",MG,ITAOBIM
RUA,CORONEL JOSE PORFIRIO,"1870",,CENTRO,"68371043",PA,ALTAMIRA
RUA,ROTA DO IMIGRANTE,"630",,QUARTA LINHA,"88812302",SC,CRICIUMA
RUA,CARLOS PESSOA MONTEIRO,S/N,      OBRA,CASA CAIADA,"53130350",PE,OLINDA
AVENIDA,ANTONIO OLIMPIO DE MORAIS,"607",SALA  1105                SALA  1106,CENTRO,"35500005",MG,DIVINOPOLIS
AVENIDA,JOSE DE SOUSA CAMPOS,"243",CONJ  51 E 52,CAMBUI,"13025320",SP,CAMPINAS
RUA,D JOSE TOMAZ,"306",,SAO JOSE,"49015090",SE,ARACAJU
AREA,"RURAL - RODOVIA GO 422, A ESQUERDA",S/Nº,KM    12,AREA RURAL DE RIO VERDE,"75913899",GO,RIO VERDE
AVENIDA,ARACAJU,"1789",SALA  D,ZONA VII,"87503370",PR,UMUARAMA
RUA,PONOE SCHEFFER,"868 D",CASA  01 ESQUINA,SANTA MARIA,"89812150",SC,CHAPECO
AVENIDA,JOSE SERVULO SOALHEIRO,"2121",,SAO PEDRO,"35701019",MG,SETE LAGOAS
AVENIDA,DR. JOAO VAZ SOBRINHO,"1280",      TRECHO 02,SAO DOMINGOS,"35588000",MG,ARCOS
RUA,JOSE AMANCIO,"337",,CENTRO,"62140000",CE,MASSAPE
RUA,PRESIDENTE OLEGARIO MACIEL,"1052",,CENTRO,"38183186",MG,ARAXA
RODOVIA,"RODOVIA GO 565, KM 6,2",S/N,BLOCO 7                   SALA  10,ZONA RURAL,"76390000",GO,BARRO ALTO
RUA,"1","510",,CENTRO,"13510023",SP,SANTA GERTRUDES
RUA,XV DE NOVEMBRO,"800",,CENTRO,"13375000",SP,MOMBUCA
AVENIDA,AGUA MARINHA,"345",,SANTA MONICA,"29221000",ES,GUARAPARI
RUA,AGOSTINHO JOAO FRIGHETTO,"568",,BORGHETTO ST 57,"95720000",RS,GARIBALDI
RUA,MARQUES DE SANTA CRUZ,"263",,CENTRO,"69005050",AM,MANAUS
RUA,GETULIO VARGAS,"1319",QUADRALOTE 83 SALA 05,CENTRO,"76230000",GO,PIRANHAS
RUA,CLODOALDO GOMES,"503",,DISTRITO INDUSTRIAL,"89219550",SC,JOINVILLE
AVENIDA,MORAIS COSTA,"26",,VILA INDUSTRIAL,"03253000",SP,SAO PAULO
RUA,TIJUCAS,"40",SALA  04,CENTRO,"88301360",SC,ITAJAI
AVENIDA,SANTOS DUMONT,"6431",SALA  01,ZONA INDUSTRIAL NORTE,"89219731",SC,JOINVILLE
RODOVIA,"RODOVIA BR 135,KM 143,6",S/N,KM    143,ITACARAMBI,"39470000",MG,ITACARAMBI
ESTRADA,MUNICIPAL BAIRRO PINHAL,SN,,ENTRE BOITUVA E IPERO,"18560000",SP,IPERO
SITIO,SITIO UEOKA - DISTRITO DE CAUCAIA DO ALTO,SN,,BAIRRO DAS BROTAS,"06723000",SP,COTIA
RODOVIA,BR 153,"13-C",QUADRA01                  LOTE  13,BOA VISTA II,"76400000",GO,URUACU
TRAVESSA,BELAS ARTES,"00005",      LOJ 3,CENTRO,"20060000",RJ,RIO DE JANEIRO
AVENIDA,DOUTOR KENKITI SHIMOMOTO,"1678",SALA  10                  GALPAO01,NOVO OSASCO,"06045390",SP,OSASCO
AVENIDA,JOAO BATISTA NUNES,Nº 50,SETOR STORAGE ASCENTY 1,DISTRITO INDUSTRIAL BENEDITO STORANI,"13288162",SP,VINHEDO
RUA,SEBASTIAO LOPES,"50",,CENTRO,"39770000",MG,COLUNA
RUA,PIQUIA,"1911",,SETOR 01,"76870076",RO,ARIQUEMES
RUA,LINDOLFO MONTE VERDE,S/N,,SAO JOSE OPERARIO,"69151550",AM,PARINTINS
RUA,DONA FRANCISCA,"8300",BLOCO 1                         MODULO B            BOX   ESTOCOLMO           COND  PERINI BUSINESS PARK,ZONA INDUSTRIAL NORTE,"89219600",SC,JOINVILLE
RUA,A (AT CARVALHOS),S/N,LOTE  16-23               QUADRA1,LAGOA DAS FLORES,"45009300",BA,VITORIA DA CONQUISTA
RUA,PETROPOLIS,"1050",SALA  5,ITAUM,"89208300",SC,JOINVILLE
AVENIDA,ELIZA NERI,S/N,,CENTRO,"44800000",BA,MUNDO NOVO
ALAMEDA,GUARAJUBA MALLS,C4,,GUARAJUBA (MONTE GORDO),"42840312",BA,CAMACARI
RODOVIA,BR-376,"6829",SALA  01,VILA SAO FRANCISCO,"86813240",PR,APUCARANA
RUA,DAS GRUMIXAMAS,"99",CONJ  112,VILA PARQUE JABAQUARA,"04349000",SP,SAO PAULO
RUA,MAESTRO FERNANDO BORGES (COM NOVA MORADA),SN,QUADRAG                   LOTE  09,CAXANGA,"50980750",PE,RECIFE
AVENIDA,DAS SIBIPIRUNAS,"3797",QUADRA026 LOTE 020,SETOR RESIDENCIAL NORTE,"78550340",MT,SINOP
RUA,FLORIANOPOLIS,"3204",,MATHIAS VELHO,"92330500",RS,CANOAS
ALAMEDA,CAMPINAS,"540",,JARDIM PAULISTA,"01404000",SP,SAO PAULO
ESTRADA,DO TINDIBA,"00332",      SAL 0404,PECHINCHA,"22740360",RJ,RIO DE JANEIRO
"1A AVENIDA",EMILIO RIBAS,"100",,VILA CAPIVARI,"12460000",SP,CAMPOS DO JORDAO
AVENIDA,BRASIL,"1497",,SAVASSI,"30140005",MG,BELO HORIZONTE
AVENIDA,VINTE E SEIS DE MARCO,"701",ANDAR 1,CENTRO,"06401050",SP,BARUERI
AVENIDA,RICARDO PAULINO MAES,"397",SALA  13 E 14,CENTRO - URBANO,"88320620",SC,ILHOTA
RUA,SATURNINO OLINTO,"1213",SALA  01                  EDIF  SAO PAULO,CENTRO,"83880069",PR,RIO NEGRO
AVENIDA,HERMES DA FONSECA,"1396",,TIROL,"59020650",RN,NATAL
RUA,OSVALDO ARANHA,"2080",,CENTRO,"95860000",RS,TAQUARI
AVENIDA,RESSACA,"310",,CORACAO EUCARISTICO,"30535540",MG,BELO HORIZONTE
RODOVIA,BR-101,S/N,KM    9                   GALPAOB5,NOVA PARNAMIRIM,"59150010",RN,PARNAMIRIM
PRACA,ZULMIRA CAMPOS,"2",SALA  5,PARQUE DUVAL DE BARROS (PARQUE DURVAL DE BARROS),"32420225",MG,IBIRITE
PRACA,DA MATRIZ,"17",,CENTRO,"45170000",BA,TREMEDAL
AVENIDA,"7 DE SETEMBRO","7",QUADRA10                  LOTE  234,CENTRO,"75280130",GO,ORIZONA
RUA,DOMINGOS BARBOSA DE ARAUJO,"1093",,PONTO CENTRAL,"44075095",BA,FEIRA DE SANTANA
AVENIDA,LUIS VIANA FILHO,"13261",      PARTE,PARALELA,"41730101",BA,SALVADOR
AVENIDA,FLORIANO PEIXOTO,"100",,CENTRO,"39390000",MG,BOCAIUVA
RUA,CAPITAO NECO,"631",EDIF  MAORI               LOJA  08,CENTRO,"12701350",SP,CRUZEIRO
RODOVIA,BR-381 FERNAO DIAS,S/N,GALPAOKM 488,JARDIM TERESOPOLIS,"32681200",MG,BETIM
AVENIDA,QUINZE DE NOVEMBRO,"1919",PAVLH 2,PROGRESSO,"99490000",RS,TAPERA
RUA,ACUPA,"00042",,OLARIA,"21031510",RJ,RIO DE JANEIRO
AVENIDA,JOSE TEIXEIRA MAGALHAES,"395",,JARDIM BELA VISTA,"37839260",MG,ANDRADAS
PARALELA,"RODOVIA BR 101, KM 209 A 211 SECAO 500",SN,,DISTRITO INDUSTRIAL,"88104801",SC,SAO JOSE
AVENIDA,REPUBLICA DO LIBANO,"251",      LOJA 211 SHOPPING         RIOMAR SALA 2042B         PISO L2,PINA,"51110160",PE,RECIFE
FAZENDA,FAZENDA PORTA DO CEU,S/N,,CAMPINAS BELAS,"84320971",PR,RESERVA
RUA,"12 CHACARA 148 LOTE","30",,SETOR HABITACIONAL VICENTE PIRES,"72007540",DF,BRASILIA
AVENIDA,PRESIDENTE KENNEDY,"301",,CENTRO,"84165110",PR,CASTRO
RUA,CORONEL JOSE MOURA AMARAL,"340",      A,VILA SAO FRANCISCO,"37200464",MG,LAVRAS
RUA,DEZOITO DE SETEMBRO,"1070",,CENTRO,"64260000",PI,PIRIPIRI
AVENIDA,MAURO MIRANDA MADUREIRA,"571",,ELPIDIO VOLPINI,"29309712",ES,CACHOEIRO DE ITAPEMIRIM
RUA,GOIAS,"1121",,CENTRO,"18700140",SP,AVARE
RUA,JACIR STRINGHINI,"774",,AREA INDUSTRIAL,"88514630",SC,LAGES
RUA,FERNANDES TOURINHO,"235",LOJA  13,SAVASSI,"30112000",MG,BELO HORIZONTE
AVENIDA,PAULISTA,"326",ANDAR 20 - PARTE,BELA VISTA,"01310902",SP,SAO PAULO
RUA,QUINZE DE NOVEMBRO,"1612",,CENTRO,"83005000",PR,SAO JOSE DOS PINHAIS
RODOVIA,COMENDADOR PEDRO MONTELEONE,SN,,ZONA RURAL,"14705000",SP,BEBEDOURO
RUA,PROFESSOR AMERICO VESPUCIO PRATES,"115",,CARIANOS,"88047710",SC,FLORIANOPOLIS
RUA,CASA DO ATOR,"1155",SUBSL GARAGEM,VILA OLIMPIA,"04546004",SP,SAO PAULO
RUA,"27 DE FEVEREIRO","20",,BORTOLON,"89820000",SC,XANXERE
AVENIDA,CORONEL TUBERTINO RIOS,"425",QUADRA10                  LOTE  4C,CENTRO,"76330000",GO,JARAGUA
AVENIDA,PRESIDENTE VARGAS,"721",QUADRA35                  LOTE  22,SETOR CENTRAL,"75600000",GO,GOIATUBA
AVENIDA,PRESIDENTE MEDICI,"2.157",QUADRA50                  LOTE  15,JARDIM PAULISTA,"77600000",TO,PARAISO DO TOCANTINS
AVENIDA,"23 DE OUTUBRO","2.236",,JARDIM AMERICA,"77600000",TO,PARAISO DO TOCANTINS
QUADRA,"ARSO 21 (203 SUL), AVENIDA NS-01",S/N,LOTE  02                  LOJA  01-A                COND  ALDEIA MALL,PLANO DIRETOR SUL,"77015216",TO,PALMAS
RUA,MATO GROSSO,"2274",,CENTRO,"85812025",PR,CASCAVEL
RUA,FRANCISCA RODRIGUES DE FARIAS,"853",,CENTRO,"62265000",CE,VARJOTA
RUA,VIDAL PROCOPIO LOHN,"91",PAVMTO04                  SALA  02,DISTRITO INDUSTRIAL,"88104810",SC,SAO JOSE
RUA,DR LUIS COELHO,S/N,,CENTRO,"48490000",BA,INHAMBUPE
RUA,MARCOS BERTOLDI,"716",,CAMPO DE SANTANA,"81490530",PR,CURITIBA
AVENIDA,AMAZONAS,"1446",SALA  207,BRASILEIA,"32600324",MG,BETIM
RODOVIA,JOAO ALFREDO ROSA,"5221",TERREO,SAO JOAO (MARGEM ESQUERDA),"88708603",SC,TUBARAO
RUA,OSWALDO CRUZ,"80",,CENTRO,"16010040",SP,ARACATUBA
AVENIDA,PRESIDENTE KENNEDY,"2025",QUADRA15 LT 10,GUILHERMINA,"11702205",SP,PRAIA GRANDE
RUA,EDILIA FERRARI,"441",,CENTRO,"78350000",MT,BRASNORTE
AVENIDA,ENGENHEIRO EMILIANO MACIEIRA,S/N,KM    KM 11 - EUC 06,RIO GRANDE,"65091762",MA,SAO LUIS
RUA,SENADOR SALGADO FILHO,"55",SALA  3,CENTRO,"93701260",RS,CAMPO BOM
AVENIDA,SENADOR GALLOTTI,"602",SALA  03 E 04,MAR GROSSO,"88790000",SC,LAGUNA
RUA,HILDA DE CARVALHO GARZON,"463",,DONA CLARA,"31260280",MG,BELO HORIZONTE
RUA,SARGENTO AFONSO DE SIMONE NETO,"440",,CENTRO,"18570000",SP,CONCHAS
FAZENDA,ESTIVA,"0",,ZONA RURAL,"35568000",MG,CORREGO FUNDO
AVENIDA,GOETHE,"38",SALA  11,RIO BRANCO,"90430100",RS,PORTO ALEGRE
RUA,GAL BACELAR,"325",,CENTRO,"96200370",RS,RIO GRANDE
RUA,LUCIANO DAS NEVES,"2418",EDIF  SHOPPING VILA VELHA LOJA  42,DIVINO ESPIRITO SANTO,"29107010",ES,VILA VELHA
RUA,EUCLIDES DA CUNHA,"837",SALA  04,PARQUE RESIDENCIAL LARANJEIRAS,"29165310",ES,SERRA
FAZENDA,BEM-TE-VI BARRA DO RIO ROOSEVELT,SN,,ZONA RURAL,"78335000",MT,COLNIZA
RUA,LABRADOR,"369",CASA  369                 CASA  365                 CASA  361,"14 DE NOVEMBRO","85801604",PR,CASCAVEL
RUA,VANCOUVER,"370",CASA  370                 CASA  362,"14 DE NOVEMBRO","85801602",PR,CASCAVEL
RUA,SEM DENOMINACAO,S/N,SALA  01,CONGONHA,"79430000",MS,BANDEIRANTES
AVENIDA,PRESIDENTE EPITACIO PESSOA,"04910",,CABO BRANCO,"58045000",PB,JOAO PESSOA
RUA,SENADOR ROLLEMBERG,"814",,SAO JOSE,"49015120",SE,ARACAJU
AVENIDA,DAO SILVEIRA,"3540",SALA  1,CANDELARIA,"59066180",RN,NATAL
RODOVIA,LUIZ ROSSO,"3610",,PRIMEIRA LINHA,"88816510",SC,CRICIUMA
AVENIDA,LUIZ DIAS MARTINS,"37",      AREA 17 B                 CONTEINER 27 28,PARQUE IPIRANGA,"27516245",RJ,RESENDE
RUA,DESEMBARGADOR JOSE BATALHA,"90",ANDAR 1                   SALA  107-108,CONSOLACAO,"29045530",ES,VITORIA
AVENIDA,SABINO BEZERRA DE QUEIROZ,"4770",SALA  02,JARDIM ELDORADO,"76987064",RO,VILHENA
RUA,ALBERTO PASQUALINI,"853",LOJA  1,MARROCOS,"94045190",RS,GRAVATAI
RUA,MAX NORDAU DE REZENDE ALVIM,"170",,BRASIL,"38400675",MG,UBERLANDIA
RUA,DA BR-040 QUADRA,"6",LOTE  C,PARQUE SAO BERNARDO,"72870424",GO,VALPARAISO DE GOIAS
AVENIDA,HAGUEMU MATSUZAWA,"689",,VILA RIBEIROPOLIS,"11900000",SP,REGISTRO
AVENIDA,TOMAS LOPES DE CAMARGO,"90",FUNDOSFUNDOS,JARDIM ROMANO,"08191230",SP,SAO PAULO
AVENIDA,PRES JUSCELINO KUBITSCHEK,"180",CONJ  152,VILA NOVA CONCEICAO,"04543000",SP,SAO PAULO
RUA,COMENDADOR TORLOGO DAUNTRE,"74",SALA  1207,CAMBUI,"13025270",SP,CAMPINAS
RUA,JOSE MICHELOTTI,"400",,CIDADE DA SAUDE,"06693005",SP,ITAPEVI
RESIDENCIAL,QUADRA 16 LOTE H,S/N,,JARDIM ABC DE BRASILIA,"72899000",GO,CIDADE OCIDENTAL
AVENIDA,VASCO DA GAMA,"782",,ACUPE DE BROTAS,"40290350",BA,SALVADOR
RUA,SCHILLER,"65",,RIO BRANCO,"90430150",RS,PORTO ALEGRE
ESTRADA,DO CAPAO BONITO,"420",SALA  12                  GALPAOMODULO A,JARDIM MARIA DE LOURDES,"07263010",SP,GUARULHOS
RUA,AURELIANO COUTINHO,"276",,CENTRO,"25625000",RJ,PETROPOLIS
RODOVIA,SC 415,S/N,,CENTRO,"88395000",SC,SAO JOAO DO ITAPERIU
AVENIDA,PEDRO MANVAILLER,"2159",,CENTRO,"79990000",MS,AMAMBAI
RUA,HENRIQUE DIAS,"305",,IGAPO,"59104300",RN,NATAL
RODOVIA,GO 118,SN,KM    118 A DIREITA 4 KM,ZONA RURAL,"73760000",GO,SAO JOAO D'ALIANCA
AVENIDA,PIERO TRICCA,"105",,JARDIM SANTA FE (ZONA OESTE),"05271240",SP,SAO PAULO
RUA,ABEL PEREIRA DE CASTRO,"484",SALA  06,SETOR CENTRAL,"75901060",GO,RIO VERDE
RUA,RUA DOS PIONEIROS,"104",,INDUSTRIAL,"96900000",RS,SOBRADINHO
RUA,TABAPUA,"1017",LOJA  1037AB,ITAIM BIBI,"04533014",SP,SAO PAULO
RODOVIA,GO 230 KM 20 A ESQ 15 KM,S/N,,ZONA RURAL,"76393000",GO,VILA PROPICIO
AVENIDA,ALCINDO BARBOSA,"1165",,PARQUE DA IMPRENSA,"13806310",SP,MOGI MIRIM
AVENIDA,TEODORO,"849",EDIF  FORUM,PALMARES,"76230000",GO,PIRANHAS
AVENIDA,DUQUE DE CAXIAS,"615",,CENTRO,"69985000",AC,RODRIGUES ALVES
RODOVIA,RODOVIA BR 316 A KM 11,"2807",ANEXO WLM ITAIPU NORTE,CENTRO,"67201045",PA,MARITUBA
RUA,DOMINGOS FERREIRA CHAVES,"300",,SAO VIDAL,"69990000",AC,MANCIO LIMA
AVENIDA,PRESIDENTE VARGAS,"788",TERREO,CENTRO,"99680000",RS,CONSTANTINA
RUA,PE . VALENTIM RUMPEL,"532",,CENTRO,"99470000",RS,NAO-ME-TOQUE
AVENIDA,PRUDENTE DE MORAIS,"3170",,LAGOA SECA,"59022305",RN,NATAL
RUA,DAS JUCARAS,"3",COND  EXECUTIVE LAKE CENTESALA  506-507-805         GARAGE62-63-99-100,RENASCENCA,"65075230",MA,SAO LUIS
RUA,SANTA CRUZ,"550",      A,CENTRO,"37002092",MG,VARGINHA
RUA,FREI CONSTANCIO,SN,QUADRA51                  LOTE  17,JARDIM CALIFORNIA,"73807701",GO,FORMOSA
RUA,DONA TECLA,"660",,JARDIM FLOR DA MONTANHA,"07097380",SP,GUARULHOS
RUA,AFONSO RIBEIRO,"00349",      LOJAS A E B,PENHA,"21021000",RJ,RIO DE JANEIRO
AVENIDA,FRANCISCO VIANA,"822",ANEXO A,SANTO ANTONIO,"55816270",PE,CARPINA
AVENIDA,PADRE JOSE DE ANCHIETA,"889",,JARDIM PADRE ANCHIETA,"14807212",SP,ARARAQUARA
AVENIDA,OLIVIA FLORES,"291",,CANDEIAS,"45028100",BA,VITORIA DA CONQUISTA
AVENIDA,MIGUEL SUTIL,"9300",LOJA  1034                      PISO L1                   SHOPPING ESTACAO          LADO PAR,SANTA ROSA,"78040365",MT,CUIABA
RUA,SINIMBU,"2302",SALA  501,CENTRO,"95020510",RS,CAXIAS DO SUL
RUA,CORONEL LUIZ JOSE DOS SANTOS,"2722",,BOQUEIRAO,"81670400",PR,CURITIBA
RUA,CANAVIAL,"100",,PLANALTO,"38706316",MG,PATOS DE MINAS
RUA,FLORIANO BERGER,S/N,,CENTRO,"29645000",ES,SANTA MARIA DE JETIBA
RUA,ALFREDO CHAVES,"300",,CENTRO,"95330000",RS,VERANOPOLIS
RUA,DAS PALMEIRAS,"219",,BAU,"78008050",MT,CUIABA
RUA,GUATEMALA,S/N,QUADRA27                  LOTE  13A4,SERRA GRANDE,"24342744",RJ,NITEROI
AVENIDA,MIGUEL VARLEZ,"18",,JARDIM PRIMAVERA,"11660650",SP,CARAGUATATUBA
AVENIDA,ROBERTO SILVEIRA,"2236",      GALPAO              LOTE  LC11                QUADRA0,FLAMENGO,"24903815",RJ,MARICA
AVENIDA,TOCANTINS,"786",QUADRA71                  LOTE  86,SET CENTRAL,"74043050",GO,GOIANIA
RUA,DOUTOR BOZANO,"1178",SALA  02,CENTRO,"97015002",RS,SANTA MARIA
AVENIDA,TEIXEIRA MENDES,"533",LOJA  01,CHACARA PEDRAS,"91330390",RS,PORTO ALEGRE
RUA,CARMELITA SOARES MUNIZ DE ARAUJO,"225",      CJ 003,CASA CAIADA,"53130645",PE,OLINDA
AVENIDA,CARLOS BERCHIERI,"2529",,CIDADE JARDIM (ZAGALO),"14890400",SP,JABOTICABAL
RUA,TRAVESSAO,"426",,CENTRO,"93990000",RS,MORRO REUTER
RODOVIA,IVO SILVEIRA  SC 108,"10011",KM    11                  LOJA  142/143,BATEAS - URBANO,"88355201",SC,BRUSQUE
ESTRADA,DA MINERACAO A PARTIR DA BR 010  KM 30,S/N,ANEXO HYDRA,FAZENDA MONTE SANTO DO PARA,"68625970",PA,PARAGOMINAS
AVENIDA,MARIANA RAMOS RIBEIRO,"168",,VILA MARIANA,"37600000",MG,CAMBUI
RUA,DESEMBARGADOR MORATO,"538",,CENTRO,"65606015",MA,CAXIAS
RODOVIA,ERS-407,S/N,,MORRO ALTO,"95530000",RS,MAQUINE
RUA,VINTE E QUATRO DE MAIO,"1162",,CENTRO,"60020000",CE,FORTALEZA
RUA,PERNAMBUCO,"251",,AREIAS,"88345146",SC,CAMBORIU
RUA,JOHANN OHF,"501",,AGUA VERDE,"89042300",SC,BLUMENAU
RUA,"1590","331",,VILA LENZI,"89252405",SC,JARAGUA DO SUL
AVENIDA,PREFEITO JOSE JUVENAL MAFRA,"2169",SALA  01,CENTRO,"88370168",SC,NAVEGANTES
RODOVIA,JOAO GUALBERTO SOARES,"980",,INGLESES DO RIO VERMELHO,"88058300",SC,FLORIANOPOLIS
RUA,DOUTOR ANTENOR SOARES GANDRA,"1459",PAVMTO1439,COLONIA,"13218111",SP,JUNDIAI
AVENIDA,BRASIL,"286",LOTE  05                  QUADRA05,SANTA GENOVEVA,"78652000",MT,CONFRESA
RUA,"15 DE NOVEMBRO","69",SALA  02,CENTRO,"84530000",PR,TEIXEIRA SOARES
RUA,PREF. RAUL PROENCA,"355",LOJA  A,CENTRO,"86270000",PR,SAO JERONIMO DA SERRA
AVENIDA,GUSTAVO FETTER,"1253",SALA  01,CENTRO,"89899000",SC,IPORA DO OESTE
RUA,BARBARA HELIODORA,"12",      FRENTE,SAO SEBASTIAO,"36202320",MG,BARBACENA
RUA,VALDEVINO VIEIRA CORDEIROS,"70",,RESSACADA,"88307370",SC,ITAJAI
AVENIDA,AIRTON SENNA,"625",,CENTRO,"64833000",PI,CANAVIEIRA
AVENIDA,JOAO NAVES DE AVILA,"720",CASA  COMERCIO,CAZECA,"38400053",MG,UBERLANDIA
AVENIDA,DAS AMERICAS,"01155",      SAL 2101,BARRA DA TIJUCA,"22631903",RJ,RIO DE JANEIRO
RUA,DEPUTADO ODON BEZERRA,"184",SALA  E0372,TAMBIA,"58020500",PB,JOAO PESSOA
RUA,DOUTOR JOSE DE ALBUQUERQUE PORCIUNCULA,"101",,FAROL,"57051345",AL,MACEIO
AVENIDA,BRASIL,"1661",,CENTRO,"78880000",MT,VERA
RODOVIA,SANTOS DUMONT,S/N,,CIS,"44011000",BA,FEIRA DE SANTANA
RUA,RAIMUNDO MEDEIROS,S/N,LOTE  PARQUE ALECRIM      QUADRA0001,ZONA DE EXPANSAO,"59280000",RN,MACAIBA
AVENIDA,BARTOLOMEU DE GUSMAO,"585",      PARTE,RECREIO,"45020107",BA,VITORIA DA CONQUISTA
AVENIDA,MINISTRO EVANDRO LINS E SILVA,"10/100",,PARQUE CECAP,"07190017",SP,GUARULHOS
AVENIDA,DOS ESTADOS,"1909",,ANCHIETA,"90200001",RS,PORTO ALEGRE
AVENIDA,TAB E PREF MARIA ARLINDA DE PAULA LOBO,"1146",,FRANCISCO MENEZES PIMENTEL,"62280000",CE,SANTA QUITERIA
ACESSO,ESTADUAL RIO MAINA,"1925",      LANCHONETE DENTRO         DA EMPRESA LA MODA,VILA MACARINI,"88818800",SC,CRICIUMA
RODOVIA,WASHINGTON LUIZ,"3000",      21L 49,VILA SAO LUIZ,"25055009",RJ,DUQUE DE CAXIAS
AVENIDA,ANTONIO VICENTE NOVELINO,S/N,ANEXO UNILEVER,ENCANTO  IGARASSU,"53620048",PE,IGARASSU
AVENIDA,"CONSELHEIRO NEBIAS, 401","401",ANEXO HOSP.  ESTIVADORES,ENCRUZILHADA,"11045910",SP,SANTOS
RUA,MARIA APARECIDA IOCI FERREIRA,"5100",ANEXO MINALBA,AGUA SANTA,"12460000",SP,CAMPOS DO JORDAO
AVENIDA,HENRY NESTLE,"2600",ANEXO TRIMTEC,GRAMA,"12286140",SP,CACAPAVA
AVENIDA,IMPERATRIZ LEOPOLDINA,"45",ANEXO REFEITORIO BIG,SAO JOSE,"93040153",RS,SAO LEOPOLDO
ESTRADA,RIO SAO PAULO,"5799",,CAMPO GRANDE,"23075247",RJ,RIO DE JANEIRO
RODOVIA,BR 386 KM 419 VIA DE CONTORNO,"212",ANEXO INNOVA,POLO PETROQUIMICO,"95853000",RS,TRIUNFO
AVENIDA,ENGENHEIRO ROBERTO FREIRE,"1962",LOJA  26                  COND  SEAWAY SHOPPING,CAPIM MACIO,"59082095",RN,NATAL
PRACA,MIN. SALGADO FILHO,S/N,,IMBIRIBEIRA,"51210902",PE,RECIFE
RUA,UVA ITALIA,"865",,OTAVIO ROCHA,"95272000",RS,FLORES DA CUNHA
RUA,RIBEIRAO DOURADO,"1669",,PARQUE ESTORIL,"79180000",MS,RIBAS DO RIO PARDO
RUA,JOSE NEVES,"765",ANEXO 767  773 E 779,VILA SAO PAULO,"04650142",SP,SAO PAULO
SETOR,SHTQ TRECHO 01 AVENIDA COMERCIAL LOTE 16,SN,TERREOTERREO,SETOR HABITACIONAL TAQUARI (LAGO NORTE),"71551010",DF,BRASILIA
